GOAL_ID,GROUP_NAME,TICKET_NO,STATUS_FLAG,AMOUNT,TXN_STATUS,INSTALLMENT,TRXNS_TYPE,PAYMENT_MODE,RECEIVED_DATE,FTR_NUMBER,BANK_REF_NUMBER,TRXNS_DATE_TIME,TRXNS_DATE,TRXNS_BY,PAYMENT_GATEWAY,RECON_FLAG,COMMENTS
257643,HYG0011W,14,member,1874,SUCCESS,13,EMI,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,17,SUCCESS,13,Interest on delayed EMI,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,118,SUCCESS,13,Late payment fee,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,355,SUCCESS,13,Emandate bounce charges,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,2000,SUCCESS,12,EMI,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,54,SUCCESS,12,Interest on delayed EMI,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,118,SUCCESS,12,Late payment fee,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,414,SUCCESS,11,EMI,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,32,SUCCESS,11,Interest on delayed EMI,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257643,HYG0011W,14,member,18,SUCCESS,10,Interest on delayed EMI,UPI,2022-10-31,257643T1667289701912,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257640,HYG0012W,9,member,2000,SUCCESS,14,EMI,UPI,2022-10-31,257640T1667289660026,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257640,HYG0012W,9,member,2000,SUCCESS,13,EMI,UPI,2022-10-31,257640T1667289660026,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
257640,HYG0012W,9,member,864,SUCCESS,12,EMI,UPI,2022-10-31,257640T1667289660026,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
51116,IBG005Db,55,member,4830.49,SUCCESS,25,EMI,UPI,2022-10-31,51116T1667289549227,2.30E+11,2022-11-01,2022-11-01,Ravali are,OFFLINE,no,
